"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09"
"02141","Cambridge","MA","Boston-Cambridge-Newton","Middlesex",225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4000,4000,4000,3950,4000,3900,3700,3700,3900,4000,4000,3800,3500,3500,4000,4000,4000,4000,4000,4000
"33327","Weston","FL","Miami-Fort Lauderdale-West Palm Beach","Broward",226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,3050,3000,3000,3000,2850,3000,3150,3100,3150,3000,3000,3100,3200,3200,3200,3300,3200
"11963","Noyack","NY","New York-Newark-Jersey City","Suffolk",227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,50000,45000,40000,45000,44175,40000,40000,40000,40000,36000,38750,40000,38000,37500,37250,36000,35000,35000,30000,30000,30000,30000,30000
"02120","Boston","MA","Boston-Cambridge-Newton","Suffolk",228,,,,,,,,,,,,3600,3400,3400,3400,3250,3250,3300,3300,3400,3400,3400,3400,3475,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3775,3800,3800,3800,3825,3900,3900,3850,3887.5,3800,3700,3800,3900,4000,4000,4000,4000,3900,3950,3900,3900,3700,3600,3600,3800,4000,4100,4100,4000,4000,4000,3900,3800,3750,3600,3550,3600,3995,4200,4200,4200,4100,4000,4000,3900,3800,3800,3912.5,4000,4200,4200,4200,4100,4000,4000,4000,4000,3950,3800
"95391","Tracy","CA","Stockton-Lodi","San Joaquin",229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690,2700,2697.5,2675,2587.5,2600,2600,2600,2600,2625,2650,2700,2700,2700,2725,2700,2700
"81611","Aspen","CO","Glenwood Springs","Pitkin",230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,35000,40000,40000,40000,40000,45000,45000,50000,50000,45000,50000,45000,45000,45000,45000,45000,45000
"02458","Newton","MA","Boston-Cambridge-Newton","Middlesex",231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3300,3500,3500,3600,3400,3400,3400,3400,3550,3300,3300,3400,3500,3500,3600,3600,3600,3500,3400,3450
"02113","Boston","MA","Boston-Cambridge-Newton","Suffolk",232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,5200,5200,4850,4850,5100,5200,5200,5200,4950,4950,4950,4950,5100,5080,5000,4975,4975,4950,4800,4800
"19127","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,2000,1995,1900,1800,1800,1825,1800,1700,1720,1800,1997.5,1997.5,2000,2000,2000,1999,1900,1874.5,1900
"11976","Water Mill","NY","New York-Newark-Jersey City","Suffolk",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,50000,50000,50000,49000,50000,50000,45000,45000,45000,50000,50000,50000,50000,50000,49250,50000,45000,40000,42000,42000,45000
